time,x,y,z,yaw,pitch,roll
1683031429303823104.00000000000000000000,45.06059682322300119495,62.78185355426711566906,27.93326347610349102979,-149.27877096139499712990,0.00000000000000000000,0.00000000000000000000
1683031429446758400.00000000000000000000,44.78518146759608242746,62.59177010756779679923,28.83893424724838183693,-152.70577147553285612958,0.00000000000000000000,0.00000000000000000000
1683031429563667200.00000000000000000000,47.22972790853428648461,62.05904799016379058685,28.35945897466114118401,-152.60633004073866914041,0.00000000000000000000,0.00000000000000000000
1683031429675394560.00000000000000000000,46.72522498730738504946,62.48910419059577492362,27.07226001163290263207,-153.67142776304748963412,0.00000000000000000000,0.00000000000000000000
1683031429786209536.00000000000000000000,44.39571695775942572482,60.50591536501305967022,29.23657230980113652663,-150.61615876364953692246,0.00000000000000000000,0.00000000000000000000
1683031429914135296.00000000000000000000,44.54769730882444633835,62.73987552776060994120,28.95794610575895333682,-151.53361436751887936225,0.00000000000000000000,0.00000000000000000000
1683031430031989760.00000000000000000000,47.28795645406065517591,60.35784329972633344141,29.92030780749318807921,-152.02342442209436512712,0.00000000000000000000,0.00000000000000000000
1683031430158247680.00000000000000000000,44.94083529295771484158,61.74609781243178474597,29.35288549516095102376,-153.00306092826403414620,0.00000000000000000000,0.00000000000000000000
1683031430294442496.00000000000000000000,50.07373695706924365822,63.37946945049644398296,30.69423640208887604786,-152.00367456720599079745,0.00000000000000000000,0.00000000000000000000
1683031430416164608.00000000000000000000,50.56779884657828461059,63.76664953763948062715,24.95003285756932598360,-153.06574623611010110835,0.00000000000000000000,0.00000000000000000000
1683031430561967104.00000000000000000000,52.18208632035307914521,66.06578764503682066334,27.09309112689741283475,-154.99618225149251315997,0.00000000000000000000,0.00000000000000000000
1683031430680445952.00000000000000000000,53.99848439289274892872,64.05046661973959487568,28.17080840440056022089,-154.67555474154639227891,0.00000000000000000000,0.00000000000000000000
1683031430797136640.00000000000000000000,56.24299184780618787727,66.96067405982682885224,29.61771882028913438489,-155.87012896716146315157,0.00000000000000000000,0.00000000000000000000
1683031430912294400.00000000000000000000,54.72281450427244919865,66.39609831230100667199,26.44479478959586771225,-153.78304642995701101427,0.00000000000000000000,0.00000000000000000000
1683031431037530368.00000000000000000000,59.32027170418475492397,67.43974072305839229102,29.13450210919613425631,-154.61196115083714630600,0.00000000000000000000,0.00000000000000000000
1683031431163018752.00000000000000000000,58.04600582823709231661,71.17918252010383639572,28.22549457144213391757,-154.72788418444957869724,0.00000000000000000000,0.00000000000000000000
1683031431286163200.00000000000000000000,61.49587136240779727814,71.62376076466340180104,29.16095708451634749281,-155.52553601734234689502,0.00000000000000000000,0.00000000000000000000
1683031431388024064.00000000000000000000,64.08400047024615275859,70.78170882149149178986,25.49720802173283118464,-157.83287308995372200116,0.00000000000000000000,0.00000000000000000000
1683031431515852288.00000000000000000000,63.54839497823606819793,73.28107807551154451176,30.31983387685674813383,-156.92175738305135723749,0.00000000000000000000,0.00000000000000000000
1683031431639301888.00000000000000000000,65.51556825109621229331,72.66838154259434645610,26.67666579590064657168,-156.96301989170888191438,0.00000000000000000000,0.00000000000000000000
